Sample,Pb7_U35,Pb7_U35.2SE.abs,Pb6_U38,Pb6_U38.2SE.abs,rho,age76
2C,16.64219703,0.179389167,0.530773319,0.008581948,0.85,2914.44747
2C,14.83914524,0.286011045,0.503639062,0.014560778,0.85,2804.979868
2C,7.866901295,0.217454525,0.362678338,0.015037569,0.85,2215.896216
2C,18.23759812,0.348253973,0.559823547,0.01603507,0.85,3002.352236
2C,14.40991278,0.334343878,0.499329963,0.017378445,0.85,2777.083809
2C,8.34543231,0.162172415,0.382660027,0.011154048,0.85,2269.267097
2C,15.78182255,0.284139727,0.511677136,0.013818537,0.85,2863.681078
2C,12.26157437,0.206562162,0.441454876,0.011155322,0.85,2624.633913
2C,13.00319186,0.173555492,0.469921079,0.009408157,0.85,2679.88556
2C,13.05857826,0.278651566,0.476781192,0.015260753,0.85,2683.893752
2C,15.9465552,0.301962804,0.523346175,0.014865067,0.85,2873.599615
2C,9.756640082,0.254507192,0.424798648,0.016621651,0.85,2412.066047
2C,14.40962501,0.243021703,0.500671326,0.012665909,0.85,2777.064847
2C,14.55244457,0.183711504,0.515331491,0.009758394,0.85,2786.432283
2C,8.962406217,0.102455952,0.401730441,0.006888721,0.85,2334.18148
2C,10.51490465,0.192448119,0.430891123,0.01182952,0.85,2481.232932
2C,10.45446962,0.149362053,0.435083473,0.009323997,0.85,2475.889743
2C,8.069228337,0.08166997,0.389290551,0.005910109,0.85,2238.805079
2C,19.36093528,0.313110986,0.580284279,0.014076803,0.85,3059.976776
2C,6.5849856,0.107848699,0.33735173,0.008287705,0.85,2057.339406
2C,8.142341502,0.126080872,0.380979575,0.008848972,0.85,2246.957947
2C,7.679948144,0.20194813,0.380144298,0.014994131,0.85,2194.258572
2C,8.404827656,0.171039124,0.384997148,0.011752099,0.85,2275.699993
2C,8.745179281,0.128794372,0.394537465,0.008715808,0.85,2311.796446
2C,11.28470162,0.262911809,0.433945506,0.015165141,0.85,2546.940872
2C,8.894335089,0.228907506,0.389124167,0.01502194,0.85,2327.21976
2C,1.881833214,0.031321713,0.084020683,0.002097693,0.85,1074.708457
2C,1.847171578,0.05094237,0.091230986,0.003774032,0.85,1062.421762
2C,4.121886657,0.052586996,0.155819011,0.002981906,0.85,1658.651428
2C,2.335173445,0.0609754,0.110788216,0.004339307,0.85,1223.053953
2C,10.81824504,0.113215193,0.331433828,0.005202786,0.85,2507.635201
2C,6.4308233,0.14947972,0.210119676,0.007326114,0.85,2036.489476
2C,11.4506644,0.213765527,0.344772409,0.009654521,0.85,2560.56657
2C,7.282128983,0.105139472,0.227717517,0.004931683,0.85,2146.621373
2C,2.794948974,0.061637815,0.10744291,0.003554204,0.85,1354.186897
2C,5.781479928,0.103353754,0.183577866,0.004922648,0.85,1943.641526
2C,1.417824563,0.033800749,0.077304836,0.002764406,0.85,896.4494035
2C,3.770889184,0.075329464,0.142150838,0.004259531,0.85,1586.569223
2C,5.806695598,0.160199142,0.205167683,0.008490462,0.85,1947.410037
2C,11.31696269,0.200851854,0.334516047,0.008905415,0.85,2549.603892
2C,1.5505051,0.028154834,0.081656885,0.002224149,0.85,950.6944386
2C,4.952941611,0.083343478,0.166119406,0.004192953,0.85,1811.327091
2C,7.6570636,0.173017137,0.245595196,0.008324113,0.85,2191.577996
2C,1.790629142,0.043847497,0.095083665,0.003492499,0.85,1042.054191
2C,2.701982136,0.08018513,0.114166172,0.005082063,0.85,1329.002781
2C,3.390686354,0.080775101,0.131099506,0.004684705,0.85,1502.244565
2C,7.185091635,0.105862841,0.239748499,0.005298567,0.85,2134.654421
2C,1.900694862,0.025053886,0.088483815,0.001749515,0.85,1081.332503
2C,3.963537715,0.064863339,0.140963539,0.003460305,0.85,1626.764213
2C,17.39517568,0.477603868,0.512261105,0.021097046,0.85,2956.88525
2C,2.992895783,0.084639374,0.122081712,0.005178723,0.85,1405.814822
2C,1.748586131,0.029124638,0.084075559,0.002100557,0.85,1026.640245
2C,2.815423478,0.076294887,0.114145718,0.004639836,0.85,1359.650365
2C,2.389341069,0.04640813,0.104650803,0.003048946,0.85,1239.412629
2C,5.249925778,0.069995805,0.178317331,0.003566183,0.85,1860.760104
2C,6.983783481,0.110520227,0.23416174,0.005558508,0.85,2109.369365
2C,3.53718531,0.094791904,0.136162475,0.005473462,0.85,1535.570741
2C,1.92958931,0.031726539,0.086555474,0.002134733,0.85,1091.396909
2C,3.123598738,0.064020977,0.120487783,0.003704259,0.85,1438.519838
2C,2.89253732,0.07306493,0.116594183,0.00441772,0.85,1379.967723
2C,6.712955251,0.201239838,0.231085065,0.010391144,0.85,2074.327477
2C,7.701204057,0.141962233,0.237123198,0.006556612,0.85,2196.742056
2C,3.12765352,0.065657818,0.125884509,0.003963979,0.85,1439.517785
2C,2.885319434,0.037215667,0.118596018,0.002294528,0.85,1378.083163
2C,1.69449094,0.033997493,0.083084745,0.002500462,0.85,1006.457121
2C,5.556573691,0.080383905,0.202097776,0.004385457,0.85,1909.395505
2C,3.596863215,0.077789455,0.140284035,0.00455089,0.85,1548.839073
2C,4.462679288,0.081784265,0.158129636,0.00434689,0.85,1724.058873
2C,1.452448484,0.025108682,0.081908785,0.002123953,0.85,910.8868424
2C,1.518722917,0.0413647,0.077775127,0.003177484,0.85,937.9621203
2C,3.547601411,0.067442727,0.125228688,0.003571046,0.85,1537.899103
2C,9.565111063,0.212756742,0.287821707,0.009603026,0.85,2393.823591
2C,2.381451252,0.060331762,0.098768699,0.003753314,0.85,1237.046232
2C,15.09968943,0.318391488,0.451302207,0.014274212,0.85,2821.54641
2C,3.366970665,0.09943203,0.127217744,0.005635415,0.85,1496.745248
2C,6.443082341,0.071568736,0.199808289,0.003329158,0.85,2038.163229
2C,1.336433339,0.037267493,0.082521142,0.00345175,0.85,861.6800044
2C,6.615075904,0.074454436,0.210671469,0.003556745,0.85,2061.359551
2C,1.401215123,0.024279475,0.081723019,0.002124076,0.85,889.4500791
2C,2.400948129,0.026259507,0.099412225,0.001630928,0.85,1242.883946
2C,8.884993253,0.182731329,0.278481688,0.008591002,0.85,2326.260622
2C,2.793714585,0.076333805,0.110486093,0.004528285,0.85,1353.856568
2C,10.83168929,0.182948283,0.334770429,0.008481458,0.85,2508.789628
2C,2.139043162,0.041034422,0.098679014,0.002839519,0.85,1161.51498
2C,9.563925453,0.109637148,0.283067999,0.004867473,0.85,2393.709639
2C,4.201906926,0.079729631,0.149310411,0.004249665,0.85,1674.392318
