Sample,Pb7_U35,Pb7_U35.2SE.abs,Pb6_U38,Pb6_U38.2SE.abs,rho,age76
2A,9.90221255,0.21671872,0.414092194,0.013594163,0.85,2425.715342
2A,15.87682537,0.260882946,0.523674487,0.012907279,0.85,2869.413008
2A,16.66915076,0.485970224,0.538206781,0.023536214,0.85,2915.997587
2A,6.849838145,0.13944607,0.358107614,0.010935302,0.85,2092.189585
2A,13.53973694,0.162683059,0.480809197,0.00866555,0.85,2718.06405
2A,9.872719948,0.212035479,0.41355126,0.013322702,0.85,2422.964812
2A,16.36588176,0.32919143,0.532644427,0.01607081,0.85,2898.418504
2A,7.379425665,0.164355371,0.367820949,0.012288222,0.85,2158.480353
2A,14.5463868,0.163125272,0.499272486,0.00839837,0.85,2786.036708
2A,10.41945548,0.168700051,0.423579112,0.010287172,0.85,2472.781156
2A,10.41858956,0.308232564,0.42356323,0.018796591,0.85,2472.704159
2A,18.22075019,0.212993608,0.566665165,0.009936149,0.85,3001.462593
2A,2.150218755,0.034099713,0.096445808,0.00229426,0.85,1165.123518
2A,1.752589865,0.050760179,0.085702465,0.003723295,0.85,1028.118229
2A,12.58482017,0.269499043,0.378373274,0.012154075,0.85,2649.086668
2A,5.75165279,0.10099772,0.193751218,0.005103341,0.85,1939.165693
2A,2.090894868,0.050436507,0.094842964,0.003431699,0.85,1145.819821
2A,2.88606444,0.082211299,0.116327268,0.004970479,0.85,1378.277843
2A,2.188379096,0.03276768,0.097476844,0.002189353,0.85,1177.349512
2A,1.761051601,0.035063763,0.085931088,0.002566422,0.85,1031.23483
2A,2.888552486,0.054414614,0.116394491,0.003288963,0.85,1378.927732
2A,7.044405605,0.096077656,0.228679484,0.004678391,0.85,2117.050204
2A,2.325052582,0.056896797,0.101169559,0.003713609,0.85,1219.968003
2A,1.815989826,0.027868168,0.087415438,0.002012215,0.85,1051.240113
2A,7.568137122,0.12355368,0.242829933,0.005946483,0.85,2181.09391
2A,8.000105869,0.234336094,0.254501088,0.011182125,0.85,2231.036544
2A,3.965268224,0.115246855,0.145485755,0.006342613,0.85,1627.118159
2A,8.274775317,0.137605264,0.26192225,0.006533449,0.85,2261.561033
2A,2.729668656,0.066121463,0.112101685,0.004073202,0.85,1336.568409
2A,2.677594619,0.041267661,0.110694722,0.002559076,0.85,1322.29162
2A,6.465838802,0.089282824,0.213047466,0.004412764,0.85,2041.262923
2A,8.344564558,0.154674118,0.263807852,0.007334879,0.85,2269.172812
2A,1.716698041,0.046112509,0.084732721,0.003414029,0.85,1014.791275
2A,15.03145312,0.449745814,0.444477671,0.019948368,0.85,2817.233703
2A,14.48396659,0.393510394,0.429685396,0.017510984,0.85,2781.951643
2A,8.620715755,0.118300143,0.271269048,0.005583846,0.85,2298.744646
2A,5.485352997,0.162611172,0.186556193,0.008295579,0.85,1898.305579
2A,1.537383824,0.018331488,0.079887916,0.001428854,0.85,945.4572369
2A,8.475915242,0.205246243,0.267356752,0.009711158,0.85,2283.346034
2A,1.484322476,0.014972765,0.078454277,0.001187085,0.85,923.9985551
2A,3.619152504,0.040367497,0.136134221,0.002277632,0.85,1553.750569
2A,13.27782966,0.184569658,0.397097364,0.008279831,0.85,2699.607007
2A,17.9497784,0.378744003,0.523326495,0.016563444,0.85,2987.045984
2A,12.43421831,0.352306239,0.374304235,0.015908083,0.85,2637.767231
2A,2.714121711,0.033084456,0.11168163,0.002042056,0.85,1332.326987
2A,12.36103046,0.159812345,0.372326808,0.007220566,0.85,2632.220435
2A,2.256576992,0.034942893,0.09931945,0.002306929,0.85,1198.839053
2A,2.010069069,0.0473241,0.092659171,0.003272284,0.85,1118.914581
2A,8.29152034,0.168865812,0.262374675,0.008015318,0.85,2263.392591
2A,12.10029275,0.206964454,0.365282062,0.009371724,0.85,2612.209552
2A,5.629194338,0.069220477,0.190442572,0.003512721,0.85,1920.580067
2A,3.265688668,0.09610001,0.126584152,0.005587522,0.85,1472.918351
2A,3.287295302,0.039541892,0.127167931,0.002294498,0.85,1478.048503
2A,5.837656315,0.066756763,0.196074906,0.003363334,0.85,1952.018103
2A,3.864529417,0.11219055,0.142763941,0.006216837,0.85,1606.305511
2A,10.17223589,0.244971628,0.313188823,0.011313497,0.85,2450.557712
2A,1.981755746,0.046160648,0.091894187,0.00321071,0.85,1109.318478
2A,17.20499252,0.38830864,0.503203484,0.017035601,0.85,2946.332813
2A,4.390278552,0.094744547,0.156968904,0.005081209,0.85,1710.511309
2A,3.743750249,0.073319298,0.139500667,0.004098066,0.85,1580.776783
2A,17.99307206,0.202200918,0.524496226,0.008841204,0.85,2989.363136
2A,18.10633459,0.378804099,0.527556411,0.016555576,0.85,2995.400248
2A,2.892573618,0.033875372,0.116503136,0.002046579,0.85,1379.977192
2A,5.798036104,0.128056272,0.195004427,0.006460344,0.85,1946.117441
2A,1.8886783,0.054550531,0.089379372,0.003872305,0.85,1077.11739
2A,6.425470333,0.131679414,0.21195677,0.006515556,0.85,2035.757757
2A,1.771695924,0.023301398,0.086218682,0.001700926,0.85,1035.141778
2A,11.90326888,0.303259525,0.359958769,0.013756002,0.85,2596.822543
2A,4.698224018,0.093540827,0.165289134,0.004936317,0.85,1766.923441
2A,5.1449619,0.084178177,0.17735933,0.004352739,0.85,1843.562515
2A,5.280792004,0.126110067,0.181029258,0.006484712,0.85,1865.762388
2A,2.724498251,0.073842836,0.111961989,0.004551806,0.85,1335.159816
