Sample,Pb7_U35,Pb7_U35.2SE.abs,Pb6_U38,Pb6_U38.2SE.abs,rho,age76
2B,3.339731792,0.092484521,0.127221209,0.005284553,0.85,1490.391986
2B,8.411181266,0.187473033,0.278071593,0.009296719,0.85,2276.385723
2B,2.21918787,0.031178939,0.099510049,0.002097131,0.85,1187.113889
2B,2.417956799,0.033151358,0.105093422,0.002161322,0.85,1247.949378
2B,2.619244308,0.026930789,0.107614348,0.001659719,0.85,1306.051936
2B,5.578915101,0.075477996,0.185546545,0.003765431,0.85,1912.849524
2B,3.383997083,0.086156364,0.126510839,0.004831438,0.85,1500.696435
2B,14.28145015,0.366465677,0.422227467,0.016251698,0.85,2768.583728
2B,1.945663661,0.052707629,0.09118333,0.003705207,0.85,1096.952981
2B,18.34601357,0.251984241,0.540691791,0.01113968,0.85,3008.058467
2B,3.319083524,0.096664153,0.13125842,0.005734106,0.85,1485.549305
2B,6.19397612,0.146904675,0.210220957,0.007478825,0.85,2003.598544
2B,3.588826924,0.107539626,0.135131961,0.006073868,0.85,1547.062415
2B,3.895206788,0.070483642,0.1425119,0.003868122,0.85,1612.688754
